termo,query_api,tipo,did,handle,data,ano,texto,uri
apply,apliquei vaga,calque,did:plc:imq3d4taq4bts7v7wynrbfwj,matheusfreire.neocities.org,2025-04-07T16:35:52.778Z,2025,"em vez de falar ""eu apliquei pra vaga"" vamos forçar os gringo a falar ""i candidated me to the job""",at://did:plc:imq3d4taq4bts7v7wynrbfwj/app.bsky.feed.post/3lmafe7qtdc2t
apply,apliquei vaga,calque,did:plc:4gfcl2pmeskavkl5kw6gae3r,incipitvitanova.bsky.social,2025-04-06T19:11:07.742Z,2025,"Pq de repente todo mundo passou a dizer ""apliquei para a vaga""? Quando foi que ""me candidatei"" foi substituído por isso?",at://did:plc:4gfcl2pmeskavkl5kw6gae3r/app.bsky.feed.post/3lm65kvq7uc2s
apply,apliquei vaga,calque,did:plc:5growevgn4q4rd4cotgguzo3,delicious.regisarimajunior.com.br,2025-03-27T20:06:48.285Z,2025,"bom, lá por set/24 apliquei pruma vaga, DO LADO DE CASA, passei nas fases, fui avançando e chegou nov/24: mais nada de updates. a situação da vida apertou e fiz todo o corre pra entregar apto e os caralho. eis q HOJE chega emeio deles pedindo documentos?!?!?!?! timing (ou a falha dele) is a bitch",at://did:plc:5growevgn4q4rd4cotgguzo3/app.bsky.feed.post/3llf3zaw3ss25
apply,apliquei vaga,calque,did:plc:s2czvntsw4xsjeoiy6oiewtf,hellribeiro.bsky.social,2025-03-15T18:11:53.252Z,2025,"Eu apliquei pra uma vaga. Só se aplicou um monte de mentiras no currículo, a palavra candidatura existe pelo amor de Deus",at://did:plc:s2czvntsw4xsjeoiy6oiewtf/app.bsky.feed.post/3lkgpyprd722s
apply,apliquei vaga,calque,did:plc:bx4e7gxnxx7y3oqkjmztwzfy,lonzc.bsky.social,2025-02-26T07:58:27.147Z,2025,me apliquei pra uma vaga na canonical,at://did:plc:bx4e7gxnxx7y3oqkjmztwzfy/app.bsky.feed.post/3lj2vs5vl5c2i
apply,apliquei vaga,calque,did:plc:og5ju2oi5zrsereuo3srtbnp,eibigg.bsky.social,2025-02-20T01:45:03.899Z,2025,"Lembro do dia que apliquei pra uma vaga de tradutor freelancer e a editora esqueceu de me mandar o teste, a mina mandou no dia de encerramento e pediu pra eu fazer ALI NA HORA, quase como se ficasse na porta esperando eu fazer o maldito teste. Mandei enfiar o teste naquele lugar.",at://did:plc:og5ju2oi5zrsereuo3srtbnp/app.bsky.feed.post/3lil64xpygk2n
apply,apliquei vaga,calque,did:plc:mrjgrizn2t25i7sdd2gjfgaq,xeraifeursinho.bsky.social,2025-02-05T15:47:54.934Z,2025,"Sim, apliquei pra vaga  Seja o que os deuses quiserem  E muito obrigada pelo carinho 💖🐻‍❄️",at://did:plc:mrjgrizn2t25i7sdd2gjfgaq/app.bsky.feed.post/3lhgwac4asc2x
apply,apliquei vaga,calque,did:plc:imv6rd5afxz7tj5bjiwhk6kb,ronilsonalves.com,2025-02-04T11:45:29.131Z,2025,"Fui cara de pau e apliquei pra vaga PLENO, fodac",at://did:plc:imv6rd5afxz7tj5bjiwhk6kb/app.bsky.feed.post/3lhdy7uoyw22h
apply,apliquei vaga,calque,did:plc:oqeuxspobg7ikuasq5pwd2nv,falme.com.br,2025-02-01T01:41:06.903Z,2025,Eu não apliquei porque eu estou concorrendo a vaga Incompetente 😔😔😔 Espero que consiga,at://did:plc:oqeuxspobg7ikuasq5pwd2nv/app.bsky.feed.post/3lh3f2fx6zk2l
apply,apliquei vaga,calque,did:plc:5aokstuylglqxwavwhlmaeuv,tabatabohlen.bsky.social,2025-01-14T16:32:50.746Z,2025,"Empresas, eu não preciso de vocês me mandando email dizendo que meu perfil é compatível com vocês. Eu sei disso. Por isso eu apliquei pra uma vaga com vocês. Mas aí vocês acharam que meu currículo não era bom o suficiente. Que tal da próxima vez me dar uma chance pra uma entrevista?",at://did:plc:5aokstuylglqxwavwhlmaeuv/app.bsky.feed.post/3lfpoievgok2k
apply,apliquei vaga,calque,did:plc:a7uadumjwjxknqd7uctdtdiu,sand0k4.bsky.social,2025-01-12T13:56:08.141Z,2025,fiz uma loucura esse fim de semana: me apliquei pra uma vaga de professor,at://did:plc:a7uadumjwjxknqd7uctdtdiu/app.bsky.feed.post/3lfkescx6b22m
apply,apliquei vaga,calque,did:plc:6e377ned3hwxo7dm6c6h3x5j,gael-m0.bsky.social,2025-01-08T19:31:38.739Z,2025,Obrigado pela divulgação! Apliquei pra vaga 🙏,at://did:plc:6e377ned3hwxo7dm6c6h3x5j/app.bsky.feed.post/3lfavol5bek2b
apply,apliquei vaga,calque,did:plc:bc2m3pqbbv7ogz54jppxxkxx,levyena.bsky.social,2024-12-31T15:28:53.311Z,2024,"Apliquei pra uma vaga de analista de marketing porque FOODDAASSEE essa merda, não tem UMA vaga pra assistente",at://did:plc:bc2m3pqbbv7ogz54jppxxkxx/app.bsky.feed.post/3lemef4rolk2k
apply,apliquei vaga,calque,did:plc:t4c2iqsifu3rdalieq3eaamn,guito.bsky.social,2024-12-21T18:06:56.522Z,2024,se tudo der errado vou pro Privacy (apliquei pra uma vaga de vidoemaker lá),at://did:plc:t4c2iqsifu3rdalieq3eaamn/app.bsky.feed.post/3ldtikk2urs2q
apply,apliquei vaga,calque,did:plc:64e2nt63l3vmwybd2p2ad434,cinthiaetal.bsky.social,2024-12-16T14:09:01.286Z,2024,"nossa, tb me irrita mto, toda hora vejo um ""apliquei pra vaga tal"" OQ É APLICAR MINHA QUERIDA",at://did:plc:64e2nt63l3vmwybd2p2ad434/app.bsky.feed.post/3ldgiwitims23
apply,apliquei vaga,calque,did:plc:skwvwusru632msiqxb45jtyn,vampireen.bsky.social,2024-12-03T08:17:17.048Z,2024,aplicar pra vaga de emprego tá tão exaustivo e toma tanto tempo que a sensação agora foi de que apliquei pra umas quinze mas foram só duas,at://did:plc:skwvwusru632msiqxb45jtyn/app.bsky.feed.post/3lcf77lbhas2w
apply,apliquei vaga,calque,did:plc:nmhuhkpj5xcpc2yte53pxpsh,lucasfranci.bsky.social,2024-11-28T23:51:18.359Z,2024,apliquei pra uma vaga agora q paga em libras... já estou sonhando com as bobagens q vou comprar se me chamarem...,at://did:plc:nmhuhkpj5xcpc2yte53pxpsh/app.bsky.feed.post/3lc2b354rzk2e
apply,apliquei vaga,calque,did:plc:tbb7ixdvejjmybbhtibslnkm,valdemarjuniorr.bsky.social,2024-11-27T19:45:16.099Z,2024,"Isso que ia comentar. As vagas BR são mais tranquilas mesmo. A gente recebe um não vez ou outra, mas na gringa é outra realidade. Eu nunca apliquei para uma vaga na gringa 😅",at://did:plc:tbb7ixdvejjmybbhtibslnkm/app.bsky.feed.post/3lbxcubbmik2p
apply,apliquei vaga,calque,did:plc:a5uawxqapgizvc2yv6mh2htz,himawarimajo.bsky.social,2024-11-22T14:32:06.595Z,2024,"Isso aqui é verdade. E tem umas traduções de falsas cognatas que me agoniam DEMAIS, tipo a de ""apply"" no sentido de candidatar-se/inscrever-se. ""Eu vou aplicar pra uma vaga"", ""Ah, eu apliquei pra coisa x"" E o que falar de traduções literais cujo significado não tem nada a ver no PT-BR...",at://did:plc:a5uawxqapgizvc2yv6mh2htz/app.bsky.feed.post/3lbk6zovpik24
apply,apliquei vaga,calque,did:plc:vfdxoynbh7l5dmdmca3airgs,iuliu.bsky.social,2024-11-04T11:15:56.753Z,2024,"(Sim, eu descobri que apliquei pra mais uma vaga falsa)",at://did:plc:vfdxoynbh7l5dmdmca3airgs/app.bsky.feed.post/3la4lof4rhd2a
apply,apliquei vaga,calque,did:plc:clhcupufpbrfkrxsze5vyrly,melanciami.bsky.social,2024-10-28T23:09:55.151Z,2024,"acabei de lansar o ""trabalhe enquanto eles dormem"" apliquei pra vaga onze da noite kkkkk",at://did:plc:clhcupufpbrfkrxsze5vyrly/app.bsky.feed.post/3l7macfk64b27
apply,apliquei vaga,calque,did:plc:aeqjaup7gm455zyiyp7h3u7o,handle.invalid,2024-10-15T02:59:57.507Z,2024,apliquei pra outra vaga que não atende meu perfil a recrutadora vai ver minha cara dnv vou atormentar eles até me contratarem de raiva,at://did:plc:aeqjaup7gm455zyiyp7h3u7o/app.bsky.feed.post/3l6jgn2bslr24
apply,apliquei vaga,calque,did:plc:fij6cvime5aqsihc4fq6e2h5,brunogreis.bsky.social,2024-10-09T15:08:24.981Z,2024,"Qd apliquei pra vaga que tô há quase 3 anos nem inglês eu falava. Na 1ª entrevista fiz uma cola no bloco de notas com umas frases feitas e torci pelo melhor.  Hj já converso beeem melhor, mas ainda dou mas derrapadas e tudo certo tb. Importante é se comunicar e fazer seu trampo bem feito.",at://did:plc:fij6cvime5aqsihc4fq6e2h5/app.bsky.feed.post/3l63mk44odb2v
